Feature	Gain	Cover	Frequency	pos
edad	0.0482677315311784	0.0175621129509511	0.0131681592660779	1
edad_rank	0.0416257879750638	0.0245320235056263	0.0165694136736668	2
ldh	0.0382025918134093	0.0262698904718154	0.0227478391113053	3
saturacion_rank	0.0360845097973005	0.0217353494160639	0.0171310887134521	4
saturacion	0.035395564303666	0.0169535041836259	0.0126376883951696	5
severidad_ins_rank	0.0268114084712001	0.0115864109244266	0.0153524510874653	6
vni_rank	0.0235341654581465	0.0240763169328557	0.0209067931475645	7
frecuencia_respiratoria	0.0189771034377228	0.0163206740168737	0.0124504633819078	8
sat_aire_ambiente	0.0162052140015612	0.00497042788442256	0.00340125440758885	9
paciente_id	0.015690543884508	0.0112503113433436	0.011451929977845	10
canarito12	0.0128823033087813	0.0132398349610401	0.01479077604768	11
heparina_rank	0.0126831263626888	0.0140348870283193	0.015602084438481	12
frecuencia_respiratoria_rank	0.0125471659235013	0.0179210322870271	0.0133865884482167	13
durac_finis_finter	0.0121452929250694	0.00627521131080829	0.00642805878865416	14
oxigeno_supl_rank	0.0117354707351526	0.0103568982631634	0.0122008300308921	15
sat_aire_ambiente_rank	0.0113823542145839	0.0249729021557021	0.0189721346771929	16
canarito22	0.0112208970351297	0.00686045933756956	0.00995412987175087	17
canarito26	0.0110119874368255	0.0100452659840396	0.0109838674446906	18
canarito37	0.0106201288904091	0.00748564193556867	0.0103909882360283	19
enf_otras_rank	0.0106119152187957	0.0127064723685841	0.0118887883421225	20
canarito18	0.0105298280695106	0.0124324385866418	0.0129809342528162	21
canarito30	0.0103051533289142	0.0139677064565079	0.0144475301900334	22
canarito28	0.0101080232114015	0.00998460182933287	0.0116703591599838	23
antic_monoclonales_rank	0.00993638825738992	0.0141703547333373	0.0125752800574157	24
peso_rank	0.00982645396838373	0.0091294511831711	0.00748900053047087	25
progr_image_rad_rank	0.00980518513459097	0.0116032306576326	0.0105158049115362	26
canarito38	0.00966025936783888	0.00857410490433174	0.0102349673916435	27
progr_imagerad_perc_rank	0.00963633432266754	0.00780081521115687	0.00851873810341061	28
canarito9	0.00956899918478047	0.0160263286857673	0.0160389428027584	29
canarito16	0.00954502277604048	0.0065077613355596	0.00964208818298125	30
arm_rank	0.0095033728872708	0.0141974777826447	0.0133241801104628	31
canarito15	0.00929113819538042	0.00640762982442633	0.00864355477891846	32
canarito10	0.00925762948286164	0.0120090927871156	0.0110150716135676	33
metodo_diag_rank	0.00908136353291698	0.0056750615905925	0.00792585889474834	34
otra_medicacion_rank	0.00901547374632582	0.0126562836617513	0.0122632383686461	35
canarito35	0.00891503977881836	0.0118326331299711	0.0118263800043686	36
fini_sintomas	0.00869371376772605	0.013262310452488	0.0123256467064	37
canarito29	0.00858974881739361	0.00945733761967677	0.0111086841201985	38
canarito33	0.00841568251209731	0.0147524306174325	0.0135114051237245	39
canarito32	0.00827231447513724	0.0120329207424909	0.0111398882890754	40
canarito20	0.00822084711757797	0.00728606744039243	0.00801947140137922	41
cancer_rank	0.00819851243773336	0.00609122703617686	0.00776983805036353	42
canarito14	0.00816167258082766	0.00970619098231644	0.0104846007426592	43
mes_rank	0.00810568589219831	0.00761142108081589	0.0105470090804131	44
progr_imagerad_perc	0.00807873251521541	0.00801450451168442	0.00652167129528505	45
obesidad_rank	0.00807002219344289	0.0107744899434348	0.00998533404062783	46
canarito36	0.00777828188123565	0.0114768859365612	0.0116079508222299	47
