Feature	Gain	Cover	Frequency	pos
edad	0.0453817787727068	0.0160558368815138	0.0127313681324062	1
ldh	0.0449694550053771	0.0267269030800133	0.0233081970424053	2
saturacion	0.0441150395178976	0.0262363047724669	0.0172852805797669	3
edad_rank	0.0358504044966153	0.0202800779126993	0.0161590441680541	4
saturacion_rank	0.0251890952070426	0.0109292425703291	0.0103319949074527	5
sat_aire_ambiente_rank	0.0178229901980225	0.0183691145534013	0.0165507785721281	6
progr_image_rad_rank	0.0174427082114983	0.0133863816782942	0.0129272353344432	7
sexo_rank	0.0152539322874139	0.0138785205119271	0.0123886005288414	8
paciente_id	0.0127899039501603	0.0162879428118796	0.0131720693369895	9
sat_aire_ambiente	0.0119939821581653	0.0142627435181674	0.00900989129370287	10
frecuencia_respiratoria	0.0117639352041082	0.00580572931131729	0.00773675448046225	11
canarito24	0.0116693219158408	0.0128178090503696	0.0102830281069435	12
severidad_ins_rank	0.0116008915875874	0.0109608036047678	0.0112623641171286	13
canarito47	0.0115968031200544	0.0196123981065433	0.0165018117716188	14
canarito32	0.0108439388913997	0.00849517185299257	0.00856919008911958	15
fini_sintomas	0.0106997227000879	0.00879608794855528	0.00925472529624914	16
antibioticos_rank	0.0101173433689885	0.0115539851494075	0.0114092645186564	17
canarito9	0.00968634984560478	0.0133611407508769	0.0118499657232396	18
canarito14	0.00945368228145476	0.00773391496224901	0.00812848888453629	19
canarito62	0.00913209948782397	0.0121921974565756	0.00989129370286945	20
igg_rank	0.00907680850826524	0.0121275743622805	0.0110175301145823	21
canarito59	0.00896845569581581	0.00782318647392816	0.00935265889726765	22
vni_rank	0.00895286977792406	0.00895432762810689	0.00881402409166585	23
canarito65	0.0087911180431729	0.0107378618295833	0.0106257957105083	24
canarito20	0.00868259118635158	0.00615139966472622	0.00822642248555479	25
obesidad_rank	0.00863059574205981	0.00748257220613645	0.00856919008911958	26
imc	0.00860429343129139	0.00457062239663435	0.00509254725296249	27
progr_imagerad_perc	0.00835876116997195	0.00305427071949323	0.0025952404269905	28
canarito43	0.00813202245361956	0.0139986025453362	0.0117030653217119	29
frecuencia_cardiaca	0.00781982282532137	0.00968619602120033	0.00935265889726765	30
canarito63	0.00778451891075978	0.0084940658342638	0.00905885809421212	31
canarito5	0.0077721447560622	0.00917292432971414	0.00979336010185095	32
metodo_diag_rank	0.00756863971635377	0.00739602624061035	0.00915679169523063	33
imc_rank	0.00752204780076883	0.00861300234827526	0.00719811967486045	34
canarito16	0.00745863202489809	0.00832125040789378	0.00886299089217511	35
canarito19	0.00742720259260762	0.00631133787303987	0.00714915287435119	36
canarito52	0.00730936330571108	0.0146497710718984	0.0132210361374988	37
durac_fdiag_finter_rank	0.00728622354761655	0.00582228009157993	0.00543531485652728	38
hipertension	0.00713904986743058	0.00149980089687849	0.00195867202037019	39
durac_fdiag_finis_rank	0.00711545441243528	0.00684665093776365	0.00803055528351778	40
otra_medicacion_rank	0.00702467591290739	0.00381169604535498	0.00435804524532367	41
canarito44	0.00701667314559507	0.00774608116826546	0.00817745568504554	42
canarito40	0.00697050280980775	0.00717122793398822	0.00788365488199001	43
oxigeno_supl_rank	0.00696120941478477	0.0053659683646253	0.00827538928606405	44
canarito39	0.00687258751529738	0.0091781384180069	0.00842228968759181	45
enf_otras_rank	0.00672685158692759	0.00643327643788656	0.00710018607384194	46
canarito13	0.00668994860503023	0.00599509551794995	0.00651258446773088	47
progr_imagerad_perc_rank	0.00664160831657958	0.00850105745265638	0.0077857212809715	48
frecuencia_respiratoria_rank	0.00653775455608456	0.010412850326001	0.00763882087944374	49
canarito66	0.00653087966008198	0.00748395472954741	0.00783468808148076	50
canarito21	0.00650102222591066	0.00958290177206716	0.00905885809421212	51
canarito17	0.00648589255662784	0.00607010728816176	0.00710018607384194	52
vni	0.00645825542063948	0.000408634419610944	0.000244834002546274	53
canarito11	0.00645255760891398	0.00984660823754059	0.00935265889726765	54
canarito36	0.0063886708513976	0.0065404812532393	0.00783468808148076	55
fini_sintomas_rank	0.00634054531171317	0.00871629659740843	0.00798158848300852	56
canarito34	0.00632704386634416	0.00640408544358086	0.00690431887180492	57
cancer_rank	0.00628445416886139	0.0060172553931942	0.00675741847027715	58
canarito49	0.00627100696870413	0.00707283176779674	0.00817745568504554	59
canarito64	0.0061735383506066	0.00620377755166717	0.00680638527078641	60
canarito50	0.0061538225649317	0.00960758969012002	0.00788365488199001	61
canarito18	0.00613448985049242	0.00510581695935148	0.0061698168641661	62
canarito10	0.00613207245987394	0.00601986243734058	0.00773675448046225	63
canarito48	0.00613197159074847	0.00646744451647172	0.00729605327587896	64
canarito15	0.00606050220568224	0.00362229033805344	0.00514151405347175	65
canarito54	0.00605691725326409	0.00733100813962633	0.00822642248555479	66
canarito42	0.00593433831737394	0.00787884291638653	0.00856919008911958	67
canarito31	0.00589468662343196	0.00405960224327459	0.00450494564685144	68
canarito30	0.00584025129731193	0.00501212137275727	0.00661051806874939	69
antic_monoclonales_rank	0.0057731045507123	0.00593797755074286	0.00597394966212908	70
canarito56	0.00575195325433553	0.011040160448557	0.00900989129370287	71
canarito37	0.00567639026033484	0.00708910604337719	0.00719811967486045	72
canarito7	0.0056096238821177	0.00627697229111029	0.00754088727842523	73
neumonia_rank	0.00556075726776144	0.00654616934955868	0.00798158848300852	74
diabetes_rank	0.00554953050524645	0.00697332958287649	0.00749192047791597	75
canarito25	0.00549564440176698	0.00668157764249501	0.0077857212809715	76
canarito46	0.00546745662123858	0.00674193466455064	0.00695328567231417	77
corticoides_rank	0.00542242741017515	0.00893283926423368	0.00896092449319361	78
canarito51	0.00541882901996749	0.00933772112030059	0.00729605327587896	79
foto_mes_rank	0.00537689673421788	0.00450540679230592	0.00406424444226814	80
durac_finis_finter_rank	0.00530282452181309	0.00444232422409725	0.00440701204583293	81
canarito4	0.00528733333791207	0.00606524870588896	0.00690431887180492	82
mes_rank	0.00526606919818836	0.011814255056688	0.00954852609930467	83
canarito60	0.00521149437673924	0.00523435213590189	0.00646361766722162	84
canarito38	0.00511605023662947	0.00413520652351967	0.00568014885907355	85
inotropicos_rank	0.00510460701442175	0.00770914804285838	0.0077857212809715	86
plasma_conv_rank	0.00499899388598203	0.00501670345034788	0.00636568406620311	87
canarito58	0.00493924586501927	0.00546475953750563	0.0061698168641661	88
canarito41	0.00490545064178035	0.00744002998574776	0.00807952208402703	89
canarito2	0.00480957285907722	0.00659613769569767	0.00719811967486045	90
hipertension_rank	0.00474467787229654	0.00565712779497352	0.0057291156595828	91
canarito33	0.004719074475533	0.00476097611998913	0.00538634805601802	92
igm_rank	0.00469837296289537	0.00604703889753317	0.00597394966212908	93
canarito8	0.00465836132369838	0.00538417817298109	0.00680638527078641	94
heparina_rank	0.00464513634625602	0.00457500697088054	0.00558221525805504	95
canarito3	0.00459501770681409	0.00583653983304726	0.0072470864753697	96
canarito55	0.00459381177136067	0.00746057033356774	0.0077857212809715	97
canarito6	0.00457817568091267	0.00722360582092917	0.00705121927333268	98
canarito29	0.00454682369960689	0.00699797800026047	0.00700225247282343	99
canarito57	0.00453194273546532	0.00362627990561078	0.00484771325041622	100
peso	0.00445454568482669	0.0073282825934733	0.00661051806874939	101
enf_pulmonr_rank	0.00438674934611781	0.00653850621979507	0.00788365488199001	102
canarito26	0.00436021336119104	0.00474719038654841	0.00592498286161982	103
canarito53	0.0043293153286048	0.00784854590335206	0.00783468808148076	104
canarito23	0.00425089823150363	0.00493067099351727	0.00563118205856429	105
canarito1	0.0042438528292745	0.00640558646899847	0.00714915287435119	106
canarito22	0.00419411323771972	0.00358342167987102	0.00470081284888845	107
canarito61	0.00414592875315001	0.00304364503956328	0.00391734404074038	108
canarito35	0.00398805389839583	0.00638259707970765	0.00602291646263833	109
enf_hepatica_rank	0.00394655699825225	0.00408689720547383	0.00548428165703653	110
enf_renal_rank	0.00386736228452679	0.00516743800281142	0.00587601606111057	111
uti_rank	0.00381314028577663	0.00916842125346129	0.00807952208402703	112
arm_rank	0.00376349815292914	0.00509846983493895	0.00651258446773088	113
canarito27	0.00371273377999612	0.00705209391663234	0.00710018607384194	114
ig_total_rank	0.00362674893648587	0.00579569614142061	0.00523944765449026	115
peso_rank	0.00347186219596623	0.00638232057502546	0.00479874644990696	116
durac_finis_finter	0.00329115813155582	0.00238599840330396	0.00323180883361081	117
enf_coronaria_rank	0.00322037545906274	0.0041679130773561	0.00479874644990696	118
finternacion_rank	0.00309773157232053	0.00553281918999375	0.00474977964939771	119
enf_otras	0.00308773022608701	0.00215713152778673	0.00166487121731466	120
ldh_rank	0.00304277273754217	0.00221270896890732	0.00293800803055528	121
canarito28	0.00290752963887359	0.00343355614212293	0.00533738125550877	122
canarito12	0.0027911890896831	0.00354996461332578	0.00396631084124963	123
altura	0.00260420881264812	0.00410546251984958	0.00504358045245324	124
metodo_diag	0.00241984867868427	0.00285929541787896	0.00274214082851826	125
sexo	0.00236076523297031	0.000781481233212463	0.000685535207129566	126
temperatura	0.00233176644253985	0.00174241400516756	0.00264420722749976	127
temperatura_rank	0.00220262788583665	0.00242447205479754	0.00264420722749976	128
canarito45	0.00217400829427897	0.00393474062893044	0.00416217804328665	129
embarazo_rank	0.00210558522628004	0.00314713679204087	0.00328077563412007	130
frecuencia_cardiaca_rank	0.00196747637945283	0.00114725742708364	0.00186073841935168	131
