Feature	Gain	Cover	Frequency	pos
edad	0.054551302710205	0.0224201060088506	0.0159873680055265	1
saturacion	0.0374777561191734	0.0134121364308184	0.0097042665877167	2
edad_rank	0.0315347366969882	0.0200918672206137	0.0144741603342215	3
ldh	0.0264903894777768	0.018609716610855	0.016184742919175	4
severidad_ins_rank	0.0216304110400026	0.00898794121600607	0.0094411000361854	5
frecuencia_respiratoria	0.0189558558088715	0.011754342527172	0.00875028783841574	6
fini_sintomas	0.016782588123252	0.0128997938296477	0.0128293693871509	7
saturacion_rank	0.0152413385416715	0.0206490598795687	0.0151320767130498	8
canarito39	0.0149868791500147	0.0137342225476968	0.0144412645152801	9
vni_rank	0.014911125166532	0.0125413561061423	0.0104608704233692	10
sat_aire_ambiente	0.0135065730818434	0.0123719830109743	0.00825685055429455	11
durac_finis_finter_rank	0.0132789634532589	0.0100107090848547	0.00911214184677127	12
paciente_id	0.0123211832117674	0.0058977437337655	0.00671074706404816	13
imc_rank	0.0122554466329002	0.0102442610322074	0.00921082930359551	14
progr_imagerad_perc	0.0109290788498538	0.00465220244098318	0.00434224810026646	15
canarito61	0.0104288868003578	0.0125956114620062	0.0102963913286621	16
canarito25	0.00965497041696196	0.0148763055616041	0.0119082864567913	17
frecuencia_respiratoria_rank	0.00964405657636083	0.00543758369549345	0.00516464357380177	18
canarito33	0.00953212470914424	0.00898672345013902	0.00927662094147834	19
neumonia_rank	0.0093642183624151	0.00936511180593434	0.0103292871476035	20
canarito66	0.00906888161505752	0.00928004956462538	0.0105924536991348	21
canarito2	0.00898421022581146	0.00621286008429842	0.00713839271028652	22
canarito24	0.00897360931747225	0.00790309319785006	0.0091779334846541	23
canarito19	0.00891621431688588	0.00920553265752682	0.0109543077074904	24
plasma_conv_rank	0.00855529983640699	0.00688027350917734	0.0078621007269976	25
uti_rank	0.00854321503576342	0.0076879372880634	0.00805947564064607	26
durac_finis_finter	0.00851812513945686	0.0112275421950691	0.0083884338300602	27
canarito6	0.00844003593533391	0.00659078206167658	0.00766472581334912	28
mes_rank	0.00827124667399268	0.0149061278703907	0.0124346195598539	29
antic_monoclonales_rank	0.00824279868901374	0.0124663987305387	0.0114477449916116	30
canarito53	0.00819501412848645	0.0104449851209739	0.00986874568242376	31
canarito15	0.0081804601975379	0.0137800571821395	0.0115793282673772	32
canarito26	0.00813294574063598	0.00992779736624708	0.0106911411559591	33
heparina_rank	0.00799377524839639	0.00925854433761154	0.00861870456265009	34
canarito16	0.00798194291848198	0.00751522181423899	0.00782920490805619	35
canarito1	0.00793193649220333	0.0110650611365103	0.0108556202506661	36
canarito46	0.00785981210565757	0.0143248389932154	0.0129280568439751	37
frecuencia_cardiaca	0.00777573904891697	0.00321005673545265	0.00539491430639166	38
enf_coronaria_rank	0.00769981867352141	0.00707747384990305	0.0086516003815915	39
canarito30	0.00768805218280605	0.00706503709211191	0.00904635020888845	40
ig_total_rank	0.00744166407253905	0.0132573506161429	0.0116122240863186	41
canarito21	0.00738762829143111	0.0129079813618602	0.0125333070166782	42
progr_image_rad	0.00733285396248113	0.00199081400341617	0.00167768676601204	43
canarito41	0.00730663623358995	0.0128621467274175	0.0107240369749005	44
cancer_rank	0.00711805433920792	0.00806689566192415	0.00720418434816935	45
canarito4	0.00710419564802131	0.00907157841215146	0.0102634955097207	46
imc	0.00702344631868118	0.0057177216647388	0.0062831014178098	47
canarito65	0.00690658686638215	0.00679699905180086	0.0075989341754663	48
canarito37	0.00690077128793101	0.00906966107865866	0.00792789236488042	49
sexo_rank	0.00689575097594259	0.00758945371230484	0.00743445508075924	50
canarito38	0.00686712164646678	0.0086653369008864	0.00950689167406823	51
canarito57	0.00686453172647487	0.00996800954977175	0.00845422546794302	52
canarito17	0.00686085337035514	0.00667314967213079	0.00763182999440771	53
canarito55	0.00677740326211348	0.00677318784261325	0.00750024671864206	54
arm_rank	0.00675684312230091	0.00956977420133473	0.00881607947629856	55
canarito62	0.00674232721954972	0.00735872594536719	0.00884897529523998	56
progr_imagerad_perc_rank	0.00671791056535086	0.00751822736403851	0.007335767623935	57
igm_rank	0.00661456782503304	0.006512663676801	0.00674364288298957	58
canarito32	0.00660733361551456	0.00651325960477849	0.00792789236488042	59
sat_aire_ambiente_rank	0.00660253329955002	0.00449158689609306	0.00532912266850883	60
canarito28	0.00655521425432807	0.0148380366214843	0.0121714530083226	61
antibioticos_rank	0.00653093207671244	0.00837506815602369	0.00871739201947433	62
enf_pulmonr_rank	0.00638235197673492	0.0050517591949355	0.00667785124510675	63
canarito59	0.00626486903276047	0.0083897331662524	0.00898055857100562	64
enf_hepatica_rank	0.00624053786225246	0.00461393350086337	0.00532912266850883	65
canarito45	0.00619800109011034	0.00905973758233781	0.00845422546794302	66
canarito27	0.00610001038050353	0.00593414716021664	0.00710549689134511	67
canarito13	0.00602508300289023	0.00757147223333182	0.00848712128688444	68
canarito48	0.00592876266743238	0.0115390829777371	0.00973716240665811	69
canarito47	0.00586525840083427	0.00703438566613918	0.00796078818382184	70
canarito58	0.00584496264609088	0.00510767278517149	0.00572387249580578	71
canarito31	0.00579275496650774	0.00801279576553271	0.00828974637323596	72
canarito23	0.00576614977246393	0.00890666182185858	0.00852001710582585	73
enf_otras_rank	0.00573881308067136	0.0121331972613845	0.00980295404454094	74
oxigeno_supl_rank	0.00554760630991664	0.00615710195353482	0.00671074706404816	75
metodo_diag_rank	0.00550174344060353	0.0067684981485295	0.00782920490805619	76
ldh_rank	0.00540690389234821	0.0131368695250413	0.00993453732030659	77
canarito5	0.00539503613635165	0.00845018099109974	0.00845422546794302	78
igg_rank	0.00537280565811507	0.00494741997905028	0.00598703904733708	79
canarito64	0.00535576311282248	0.00493120037409767	0.00565808085792296	80
canarito52	0.00532292728137973	0.00391270764073979	0.00532912266850883	81
canarito12	0.00529338215899702	0.0053739748613742	0.0062831014178098	82
canarito43	0.00529162668389754	0.0049750658552235	0.00638178887463403	83
canarito54	0.00526025678739323	0.0032126736365712	0.00440803973814928	84
inotropicos_rank	0.00518489733646078	0.00681228589991913	0.00789499654593901	85
progr_image_rad_rank	0.00513389628314949	0.00527549128561564	0.00638178887463403	86
canarito10	0.00504353995003855	0.00606144255819133	0.0075989341754663	87
canarito34	0.00501699195088156	0.00609603229079793	0.0060199348662785	88
vni	0.00499044530707275	0.000217954180289667	0.00013158327576565	89
canarito14	0.00493746096437311	0.00591178690610466	0.00611862232310273	90
corticoides_rank	0.00492800185415272	0.0085472654316068	0.00835553801111879	91
canarito42	0.00492279707619237	0.00468414936255916	0.00651337215039968	92
