fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	extra_trees	early_stopping_rounds	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 210036	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	420	TRUE	TRUE	216	0.026777749356095	0.685559214447509	411	17	0.467861169661243	167
20220831 210043	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	371	TRUE	TRUE	235	0.0242914629865124	0.588185732704986	275	325	0.469244878571454	168
20220831 210051	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	326	TRUE	TRUE	290	0.0191962663429341	0.484694990419775	135	33	0.469427131815158	169
20220831 210059	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	574	TRUE	TRUE	377	0.0143750715126654	0.582607096253007	22	11	0.473100925352079	170
20220831 210111	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	576	TRUE	TRUE	392	0.013781522312308	0.61446001014472	178	14	0.471189217827757	171
20220831 210121	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	774	TRUE	TRUE	407	0.0132276067177319	0.431275412535129	382	312	0.466656962253052	172
20220831 210127	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	291	TRUE	TRUE	215	0.0269075889237257	0.495282993006327	294	838	0.468150762728904	173
20220831 210134	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	651	TRUE	TRUE	337	0.0162449471048911	0.294098228736187	320	868	0.468409058910408	174
20220831 210143	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	294	TRUE	TRUE	270	0.0208108462360745	0.799433002769778	236	907	0.468579974521405	175
20220831 210156	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1069	TRUE	TRUE	522	0.0101554092322332	0.363290828860354	346	955	0.46946466350103	176
20220831 210202	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	423	TRUE	TRUE	312	0.0176905294904729	0.435683019066634	3	10	0.466622477420615	177
20220831 210216	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1471	TRUE	TRUE	508	0.0104395402689578	0.460628991246775	698	731	0.463010980760643	178
20220831 210220	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	110	TRUE	TRUE	123	0.0534327282779501	0.422261099047857	154	922	0.470278119818936	179
20220831 210236	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	959	TRUE	TRUE	526	0.0100622591520389	0.628198933477161	356	738	0.470396925158821	180
20220831 210243	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	432	TRUE	TRUE	282	0.0198396073803041	0.381798686083025	66	11	0.468976744859015	181
20220831 210252	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	719	TRUE	TRUE	394	0.0137047626988197	0.365333404820529	376	784	0.469041763217118	182
20220831 210305	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	721	TRUE	TRUE	459	0.0116532169193003	0.568691543956363	223	233	0.468341808096815	183
