Feature	Gain	Cover	Frequency
edad	0.206858517634886	0.0870128136251441	0.0744021257750221
saturacion	0.128970482472758	0.0743724292911546	0.0646589902568645
severidad_ins	0.100730180780353	0.0140545078390933	0.00797165633303809
ldh	0.0555354698758949	0.0604283597983058	0.0655447298494243
ldh_sat	0.0529643898731222	0.0449821579054737	0.054030115146147
frecuencia_respiratoria	0.0466792478244971	0.0587012920432055	0.0611160318866253
progr_imagerad_perc	0.039988994245882	0.056774495364046	0.0513728963684677
frecuencia_cardiaca	0.0349561291312076	0.0725744417469766	0.0806023029229407
vni	0.0333350877909208	0.0161806062146669	0.00974313551815766
imc	0.0299997670263615	0.0456108233851596	0.0549158547387068
temperatura	0.0276588419834485	0.0454952583071745	0.0575730735163862
peso	0.0270074831802014	0.0802081453086666	0.0628875110717449
fini_sintomas	0.0258095573592263	0.04561424120632	0.0566873339238264
hipertension	0.0223935351037504	0.0294411114754414	0.029229406554473
sat_aire_ambiente	0.0213030239663874	0.0229344344413838	0.0159433126660762
fdiag_covid	0.0185665137357299	0.0347316850178741	0.0310008857395926
altura	0.0184764754880068	0.0472872646643219	0.0504871567759079
finternacion	0.0172799893812208	0.0344193816093452	0.0363153232949513
uti	0.0165770547624251	0.0141051343150313	0.0070859167404783
antibioticos	0.016421241328346	0.015914016164158	0.0212577502214349
metodo_diag	0.010046985475227	0.0179689811368314	0.0212577502214349
progr_image_rad	0.00971690709541131	0.00506670625642844	0.00885739592559787
obesidad	0.00752727721939514	0.0113247368010689	0.0132860938883968
diabetes	0.00684361877706835	0.0140374187332914	0.0150575730735164
sexo	0.00671765306877967	0.0111260759461223	0.00885739592559787
otra_medicacion	0.00581247297740374	0.00628131445129552	0.00974313551815766
enf_otras	0.00327001746790176	0.00720562146135352	0.0070859167404783
enf_pulmonr	0.00220749837946361	0.00535059902656181	0.00531443755535872
enf_coronaria	0.00202269265924367	0.00991445834477057	0.0070859167404783
embarazo	0.00127201289416055	0.00217458871328646	0.00265721877767936
heparina	0.00104201847378252	0.00292010095389252	0.00265721877767936
cancer	0.000744665215942143	0.000597264247774945	0.000885739592559787
rf_003_002	0.000632807592791577	0.00134662153718643	0.00177147918511957
oxigeno_supl	0.00042198335255985	0.00257447378904994	0.00177147918511957
enf_renal	0.000209406406243587	0.00126843887814293	0.000885739592559787
