fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 164851	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	60	TRUE	0.09844371686994	0.75634842733345	444	1024	0.459156808989691	74
20220831 164855	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	127	TRUE	0.0583230354294243	0.42494449832148	651	1024	0.463206116558019	75
20220831 164857	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	15	TRUE	0.299879443285384	0.999006752356499	518	10	0.45494317246846	76
20220831 164859	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	66	TRUE	0.129463669229035	0.773415222820616	910	1024	0.457102113293337	77
20220831 164901	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	67	TRUE	0.147092731044858	0.207087534788465	498	10	0.460935371489748	78
20220831 164903	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	37	TRUE	0.159676480019919	0.997237653412062	498	10	0.454661137077117	79
20220831 164905	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	55	TRUE	0.229460001865677	0.20017919200595	531	487	0.455251131926756	80
20220831 164909	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	110	TRUE	0.0579351586357819	0.678307160796586	454	923	0.46631983365095	81
20220831 164911	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	127	TRUE	0.242905922854119	0.496100017413113	1989	848	0.433352202084767	82
20220831 164913	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	15	TRUE	0.26025443118155	0.999639093572159	443	1024	0.449055493382036	83
20220831 164915	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	25	TRUE	0.299792634258149	0.999911550697849	1145	450	0.456331203608284	84
20220831 165003	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	7246	TRUE	0.0100005589733625	0.861065354103592	2443	1024	0.416189302847683	85
20220831 165006	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	283	TRUE	0.0600806216387092	0.200037569905529	1174	979	0.456321625121532	86
20220831 165008	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	44	TRUE	0.119709013955628	0.426745830338827	515	10	0.460317317263058	87
20220831 165018	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	615	TRUE	0.0100188245319519	0.256584233098108	187	687	0.470347767673823	88
20220831 165023	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	363	TRUE	0.0180731290240598	0.352406658619624	184	10	0.46911789448189	89
20220831 165026	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	67	TRUE	0.0671514626709749	0.76774435914918	474	10	0.46696859667892	90
20220831 165028	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	61	TRUE	0.193519384455037	0.200818499805717	1101	271	0.454321410251286	91
20220831 165031	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	42	TRUE	0.146806177781821	0.999504612261574	464	1024	0.459763413709728	92
20220831 165033	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	35	TRUE	0.198443967299641	0.277371884372617	496	1024	0.450602005445482	93
20220831 165036	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	26	TRUE	0.209700977632171	0.998983031944709	501	437	0.458009714673829	94
20220831 165056	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	480	TRUE	0.0104627749633628	0.785868532731663	419	251	0.466893106037727	95
20220831 165058	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	49	TRUE	0.122269397008902	0.93230041617788	551	338	0.462403226483595	96
20220831 165111	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	689	TRUE	0.0100231666937704	0.320118918480702	326	556	0.472149372599491	97
20220831 165123	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	643	TRUE	0.0100281468715468	0.252318135746992	169	517	0.46886435068935	98
20220831 165135	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	579	TRUE	0.0100634021024354	0.355894992976077	404	633	0.468604534470245	99
20220831 165144	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	643	TRUE	0.0100086257478543	0.284187126623625	321	786	0.469637028446069	100
