"id","B2","B3","B4","B8","B8A","B11","B12","foto_mes","nvdi","evi"
381,0.0480000004172325,0.0671999976038932,0.0714000016450882,0.290600001811981,0.303700000047684,0.236699998378754,0.156599998474121,"2020-10",0.605524856556772,0.403237672529973
381,0.0649999976158142,0.0843999981880188,0.0966000035405159,0.194399997591972,0.204300001263618,0.263200014829636,0.195199996232986,"2020-11",0.336082452477137,0.190050507695809
381,0.110600002110004,0.152400001883507,0.217600002884865,0.30460000038147,0.310000002384186,0.42969998717308,0.329800009727478,"2020-12",0.166602828327124,0.122142973838176
381,0.050000000745058,0.098300002515316,0.068800002336502,0.361799985170364,0.36719998717308,0.303700000047684,0.1858000010252,"2021-01",0.680445869332939,0.523363789963868
381,0.0242500007152557,0.0454000011086463,0.0236000008881092,0.451400011777878,0.485100001096725,0.218099996447563,0.0980499982833862,"2021-02",0.900631577857644,0.757905939108869
381,0.024949999526143,0.0576499998569488,0.0287500005215406,0.397000014781952,0.427100002765656,0.202649995684624,0.0980499982833862,"2021-03",0.86494421849382,0.66597343076649
382,0.0480000004172325,0.067500002682209,0.0738999992609024,0.287600010633469,0.299100011587143,0.241300001740456,0.159199997782707,"2020-10",0.591148009746967,0.389679086240147
382,0.062399998307228,0.0833000019192695,0.0939999967813491,0.194199994206429,0.209199994802475,0.266299992799759,0.19709999859333,"2020-11",0.347675227475385,0.194155941692848
382,0.113399997353554,0.152199998497963,0.222399994730949,0.306800007820129,0.317099988460541,0.435099989175797,0.333000004291534,"2020-12",0.15948604059395,0.117831034337349
382,0.0520999990403652,0.099600002169609,0.0706999972462654,0.359400004148483,0.354600012302399,0.306100010871887,0.185699999332428,"2021-01",0.671239260558028,0.518182158838353
382,0.0239499993622303,0.0474499985575675,0.0226000007241964,0.464800000190735,0.49465000629425,0.218999996781349,0.0986500009894371,"2021-02",0.907263025515911,0.778096455395908
382,0.0235500000417232,0.0568000003695488,0.0274999998509883,0.405299991369247,0.439949989318848,0.20354999601841,0.097800001502037,"2021-03",0.872920515670738,0.677704619414666
383,0.0469000004231929,0.0688999965786933,0.0712999999523162,0.293799996376038,0.302500009536743,0.241300001740456,0.159199997782707,"2020-10",0.609422072476866,0.40606635320355
383,0.0640999972820282,0.0844999998807907,0.0935999974608421,0.19879999756813,0.212099999189377,0.267399996519089,0.19879999756813,"2020-11",0.359781128234508,0.205524948001102
383,0.108999997377396,0.152799993753433,0.224800005555153,0.311599999666214,0.317600011825562,0.434700012207031,0.331400007009506,"2020-12",0.161819525104664,0.117749188277278
383,0.0551000013947486,0.101800002157688,0.0794999971985817,0.333799988031387,0.354699999094009,0.310400009155273,0.189600005745888,"2021-01",0.61529155557871,0.45490321987148
383,0.024100000038743,0.0450999997556209,0.0225000008940696,0.473199993371964,0.488750010728836,0.218099996447563,0.0983999967575073,"2021-02",0.909219281200983,0.7893446232243
383,0.0238000005483627,0.0549499988555908,0.0251499991863966,0.428000003099441,0.447100013494492,0.204099997878075,0.097850002348423,"2021-03",0.888999231779624,0.719169533006315
384,0.0436000004410743,0.0694999992847442,0.0663999989628791,0.287200003862381,0.300999999046326,0.23649999499321,0.154200002551079,"2020-10",0.624434398007105,0.406300614273392
